Replenishment Receive Location,Part Number,TOPMOST,Part Name,foo,Strategic Product,Life Cycle,Frequency,foo,丸め,ＲＥＧ,ＲＥＧ        Sub Amount,ADD,ADD              Sub Amount,Price(FOB),Amount,CostCurrency,Transport by Boat(N+1)月出荷,Transport by Air(N+1)月出荷,ADD Boat(N1) 月出荷,ADD Air(N1) 月出荷,AIR金額,同月出荷可能数量,N2月月末時点在庫数,N2月中間時点在庫数,Order Date,Due Date or Available Date,OrderType,MAPE
210_KDA,AA0148,AA0148,Product-148,foo,n,4:Decline,Freq 2/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0149,AA0149,Product-149,foo,n,4:Decline,Freq 3/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0150,AA0150,Product-150,foo,n,4:Decline,Freq 3/6,foo,1,3,,-2,,,,,,,,,,,,,,,,
210_KDA,AA0151,AA0151,Product-151,foo,n,4:Decline,Freq 0/6,foo,42,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0152,AA0152,Product-152,foo,n,4:Decline,Freq 3/6,foo,1,0,,1,,,,,,,,,,,,,,,,
210_KDA,AA0153,AA0153,Product-153,foo,n,4:Decline,Freq 6/6,foo,1,15,,22,,,,,,,,,,,,,,,,
210_KDA,AA0154,AA0154,Product-154,foo,n,4:Decline,Freq 6/6,foo,4,4,,31,,,,,,,,,,,,,,,,
210_KDA,AA0155,AA0155,Product-155,foo,n,4:Decline,Freq 6/6,foo,4,4,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0156,AA0156,Product-156,foo,n,4:Decline,Freq 4/6,foo,1,7,,8,,,,,,,,,,,,,,,,
210_KDA,AA0157,AA0157,Product-157,foo,n,4:Decline,Freq 3/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0158,AA0158,Product-158,foo,n,4:Decline,Freq 6/6,foo,4,60,,7,,,,,,,,,,,,,,,,
210_KDA,AA0159,AA0159,Product-159,foo,n,4:Decline,Freq 6/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0160,AA0160,Product-160,foo,n,4:Decline,Freq 3/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0161,AA0161,Product-161,foo,n,4:Decline,Freq 3/6,foo,1,2,,0,,,,,,,,,,,,,,,,
210_KDA,AA0162,AA0162,Product-162,foo,n,4:Decline,Freq 4/6,foo,1,0,,1,,,,,,,,,,,,,,,,
210_KDA,AA0163,AA0163,Product-163,foo,y,2:Upturn,Freq 6/6,foo,4,448,,14,,,,,,,,,,,,,,,,
210_KDA,AA0164,AA0164,Product-164,foo,y,1:New Product,Freq 6/6,foo,1,"1,440",,673,,,,,,,,,,,,,,,,
210_KDA,AA0165,AA0165,Product-165,foo,y,1:New Product,Freq 6/6,foo,1,309,,233,,,,,,,,,,,,,,,,
210_KDA,AA0166,AA0166,Product-166,foo,y,2:Upturn,Freq 6/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0167,AA0167,Product-167,foo,y,2:Upturn,Freq 6/6,foo,4,176,,1,,,,,,,,,,,,,,,,
210_KDA,AA0168,AA0168,Product-168,foo,y,2:Upturn,Freq 6/6,foo,9,270,,180,,,,,,,,,,,,,,,,
210_KDA,AA0169,AA0169,Product-169,foo,n,3:Mature,Freq 6/6,foo,1,67,,146,,,,,,,,,,,,,,,,
210_KDA,AA0170,AA0170,Product-170,foo,y,2:Upturn,Freq 6/6,foo,4,244,,85,,,,,,,,,,,,,,,,
210_KDA,AA0171,AA0171,Product-171,foo,y,2:Upturn,Freq 6/6,foo,4,160,,205,,,,,,,,,,,,,,,,
210_KDA,AA0172,AA0172,Product-172,foo,y,2:Upturn,Freq 6/6,foo,9,81,,-3,,,,,,,,,,,,,,,,
210_KDA,AA0173,AA0173,Product-173,foo,y,2:Upturn,Freq 6/6,foo,1,170,,175,,,,,,,,,,,,,,,,
210_KDA,AA0174,AA0174,Product-174,foo,y,2:Upturn,Freq 6/6,foo,1,0,,205,,,,,,,,,,,,,,,,
210_KDA,AA0175,AA0175,Product-175,foo,n,4:Decline,Freq 6/6,foo,4,0,,3,,,,,,,,,,,,,,,,
210_KDA,AA0176,AA0176,Product-176,foo,n,4:Decline,Freq 5/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0177,AA0177,Product-177,foo,n,4:Decline,Freq 6/6,foo,4,56,,98,,,,,,,,,,,,,,,,
210_KDA,AA0178,AA0178,Product-178,foo,n,4:Decline,Freq 6/6,foo,4,20,,161,,,,,,,,,,,,,,,,
210_KDA,AA0179,AA0179,Product-179,foo,n,4:Decline,Freq 5/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0180,AA0180,Product-180,foo,n,3:Mature,Freq 6/6,foo,4,20,,-3,,,,,,,,,,,,,,,,
210_KDA,AA0181,AA0181,Product-181,foo,n,4:Decline,Freq 6/6,foo,4,4,,-2,,,,,,,,,,,,,,,,
210_KDA,AA0182,AA0182,Product-182,foo,n,4:Decline,Freq 3/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0183,AA0183,Product-183,foo,n,4:Decline,Freq 6/6,foo,4,8,,7,,,,,,,,,,,,,,,,
210_KDA,AA0184,AA0184,Product-184,foo,n,4:Decline,Freq 5/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0185,AA0185,Product-185,foo,y,2:Upturn,Freq 6/6,foo,6,984,,415,,,,,,,,,,,,,,,,
210_KDA,AA0186,AA0186,Product-186,foo,y,2:Upturn,Freq 6/6,foo,1,436,,13,,,,,,,,,,,,,,,,
210_KDA,AA0187,AA0187,Product-187,foo,y,2:Upturn,Freq 6/6,foo,6,696,,13,,,,,,,,,,,,,,,,
210_KDA,AA0188,AA0188,Product-188,foo,n,4:Decline,Freq 6/6,foo,6,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0189,AA0189,Product-189,foo,n,4:Decline,Freq 5/6,foo,6,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0190,AA0190,Product-190,foo,n,4:Decline,Freq 3/6,foo,6,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0191,AA0191,Product-191,foo,n,4:Decline,Freq 4/6,foo,6,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0192,AA0192,Product-192,foo,y,2:Upturn,Freq 4/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0193,AA0193,Product-193,foo,y,2:Upturn,Freq 6/6,foo,6,228,,10,,,,,,,,,,,,,,,,
210_KDA,AA0194,AA0194,Product-194,foo,n,4:Decline,Freq 6/6,foo,6,150,,102,,,,,,,,,,,,,,,,
210_KDA,AA0195,AA0195,Product-195,foo,n,4:Decline,Freq 6/6,foo,1,0,,174,,,,,,,,,,,,,,,,
210_KDA,AA0196,AA0196,Product-196,foo,y,2:Upturn,Freq 6/6,foo,4,0,,681,,,,,,,,,,,,,,,,
