名前: U020 Forecast Check Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日付/時間: 2023/09/01 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拠点名,品番,品名,需要ストリーム,最重点管理品目,Strategic Product,ライフサイクル,Frequency,傾向性ランク,foo,FOB価格,安全在庫,6ヶ月平均出荷実績,予測手法（EN）,出荷実績　(N-12),出荷実績　(N-11),出荷実績　(N-10),出荷実績　(N-09),出荷実績　(N-08),出荷実績　(N-07),出荷実績　(N-06),出荷実績　(N-05),出荷実績　(N-04),出荷実績　(N-03),出荷実績　(N-02),出荷実績　(N-01),FOB価格x前月出荷数量,12ヶ月平均出荷実績,予測数量(N),予測数量(N+1),予測数量(N+2),予測数量(N+3),予測数量(N+4),予測数量(N+5),予測数量(N+6),予測数量(N+7),予測数量(N+8),予測数量(N+9),予測数量(N+10),予測数量(N+11),Foo,Bar,標準偏差,平均,実績期間,実績率エラー,将来日付を含む受注残,RMSE,MAPE,MAD,計算された安全在庫,在庫タイプ,VMR値,実績の異常値検知,予測手法変更,予測数量変更,需要履歴変更,予測実績乖離1,予測実績乖離2,予測実績乖離3,SVG予測数量(N),SVG予測数量(N+1),SVG予測数量(N+2),SVG予測数量(N+3),SVG予測数量(N+4),SVG予測数量(N+5),SVG予測数量(N+6),SVG予測数量(N+7),SVG予測数量(N+8),SVG予測数量(N+9),SVG予測数量(N+10),SVG予測数量(N+11)
U.S.,AA0032,Product-32,U.S.,Normal,n,4:Decline,Freq 4/6,,foo,17.9,3,10,MovingAverage,3,0,0,4,0,3,2,0,0,28,27,0,0,6,9.98,12.04,10.81,10.19,11.22,9.88,10.7,9.57,9.57,9.26,9.68,10.6,1,32,11.281924,6.001315,12,187.9908653,43,12.7639,1.2619,8.8333,25.87,SH ,11.81338149, ,y, , , ,y, ,9.98,12.04,10.81,10.19,11.22,9.88,10.7,9.57,9.57,9.26,9.68,10.6
U.S.,AA0033,Product-33,U.S.,Normal,n,4:Decline,Freq 5/6,,foo,32.2,10,5,MovingAverage,4,6,0,4,1,6,0,3,4,7,15,1,32.2,4,5.21,6.29,5.64,5.32,5.86,5.16,5.59,5,5,4.83,5.05,5.53,1,33,4.40183,4.391061,12,100.2452482,0,4.8715,0.6117,3.5,10.09,SH ,3.44559569, ,y, , , ,y, ,5.21,6.29,5.64,5.32,5.86,5.16,5.59,5,5,4.83,5.05,5.53
U.S.,AA0034,Product-34,U.S.,Normal,n,3:Mature,Freq 6/6,T1,foo,12.48,24,14,MovingAverage,31,7,21,2,4,5,14,5,11,7,43,1,12.48,13,13.77,16.61,14.9,14.05,15.47,13.63,14.76,13.2,13.2,12.77,13.34,14.62,1,34,16.095653,14.193195,6,113.4040151,0,16.1685,0.5592,9.8328,24.24,SH ,17.43749178, ,y, , , ,y, ,13.77,16.61,14.9,14.05,15.47,13.63,14.76,13.2,13.2,12.77,13.34,14.62
U.S.,AA0035,Product-35,U.S.,2nd Most Important,n,3:Mature,Freq 6/6,T2,foo,53.4,11,19,MovingAverage,22,26,11,22,17,18,9,15,20,19,36,16,854.4,19,19.6,23.64,21.22,20,22.02,19.4,21.01,18.79,18.79,18.18,18.99,20.81,1,35,7.548745,19.43155,12,38.84787884,0,14.7559,0.4161,9.4728,11.37,SH ,2.6942214, ,y, , , ,y, ,19.6,23.64,21.22,20,22.02,19.4,21.01,18.79,18.79,18.18,18.99,20.81
U.S.,AA0036,Product-36,U.S.,2nd Most Important,n,3:Mature,Freq 6/6,T3,foo,53.4,8,11,MovingAverage,15,17,9,13,9,7,5,9,13,7,23,10,534,11,11.38,13.73,12.32,11.62,12.79,11.27,12.21,10.91,10.91,10.56,11.03,12.09,1,36,5.255609,11.471944,12,45.81271492,0,7.7376,0.4068,5.3339,7.92,SH ,2.2483265, ,y, , , ,y, ,11.38,13.73,12.32,11.62,12.79,11.27,12.21,10.91,10.91,10.56,11.03,12.09
U.S.,AA0037,Product-37,U.S.,2nd Most Important,n,4:Decline,Freq 6/6,T3,foo,53.4,11,11,MovingAverage,11,27,8,10,5,3,10,7,8,7,26,6,320.4,11,10.83,13.07,11.73,11.06,12.17,10.72,11.61,10.39,10.39,10.05,10.5,11.5,1,37,7.345833,10.571363,12,69.48804047,0,2.7914,0.1909,2.2217,11.06,SH ,4.61593942, ,y, , , , , ,10.83,13.07,11.73,11.06,12.17,10.72,11.61,10.39,10.39,10.05,10.5,11.5
U.S.,AA0038,Product-38,U.S.,2nd Most Important,n,4:Decline,Freq 6/6,T3,foo,53.4,13,9,MovingAverage,16,25,6,15,12,4,5,5,7,3,28,5,267,11,9,10.86,9.75,9.19,10.12,8.91,9.65,8.63,8.63,8.35,8.72,9.56,1,38,8.315389,10.799155,12,77.00036716,0,4.9188,0.3899,4.2778,12.52,SH ,7.11735275, ,y, , , , ,y,9,10.86,9.75,9.19,10.12,8.91,9.65,8.63,8.63,8.35,8.72,9.56
U.S.,AA0039,Product-39,U.S.,Normal,n,4:Decline,Freq 5/6,T1,foo,10.91,8,3,MovingAverage,3,4,12,0,1,1,2,9,1,0,1,5,54.55,3,3.01,3.63,3.25,3.07,3.38,2.98,3.22,2.88,2.88,2.79,2.91,3.19,1,39,3.621627,3.098994,6,116.8646019,0,3.3826,0.9528,3.0833,8.31,SH ,4.04327882, ,y, , , , , ,3.01,3.63,3.25,3.07,3.38,2.98,3.22,2.88,2.88,2.79,2.91,3.19
U.S.,AA0040,Product-40,U.S.,Normal,n,4:Decline,Freq 5/6,T2,foo,1.97,26,15,MovingAverage,0,0,2,0,0,3,0,11,30,30,11,8,15.76,8,15,15,15,15,15,15,15,15,15,15,15,15,1,40,11.147428,7.916667,12,140.8096109,0,15.3011,1.0689,11.4167,25.56,SH ,8.38578434, ,y, , , , ,y,15,15,15,15,15,15,15,15,15,15,15,15
U.S.,AA0041,Product-41,U.S.,Normal,n,4:Decline,Freq 6/6,,foo,100.54,0,17,MovingAverage,18,23,30,24,28,24,26,16,7,19,8,24,2412.96,21,19.75,23.83,21.38,20.16,22.2,19.55,21.18,18.94,18.94,18.33,19.14,20.98,1,41,6.619262,20.364221,12,32.50437127,0,8.2635,0.3242,6.2296,0,SH ,2.05540941, ,y, , , , ,y,19.75,23.83,21.38,20.16,22.2,19.55,21.18,18.94,18.94,18.33,19.14,20.98
